,1115,1479,1843,2214,2578,2942,3306
2000,939,901.1,880,864.2999878,849.6,836.5999756,824.9000244
2100,852.2,818.7000122,802.2999878,791,781,772.2999878,765.2000122
2200,768.0999756,739.4000244,728.0999756,721.4000244,715.5,711.2999878,708.2000122
2300,687.0999756,664.2999878,657.5999756,655.5,653.7000122,653.7000122,654.4000244
2400,609.7999878,593.5,591.5999756,593.5999756,595.7999878,599.2999878,603.9000244
2500,537.2000122,527.2000122,529.7999878,535.7000122,541.7999878,548.5,556.2000122
2600,469.7000122,465.3999939,472.2999878,481.7999878,491.1000061,501.2000122,511.8999939
2700,407.5,408.5,419.2999878,432.2999878,444.5,457.1000061,470.6000061
2800,350.7000122,357.7999878,372,387.3999939,402.1000061,417,432.3999939
2900,299.2000122,312.5,329.1000061,347,363.5,380.2999878,397.5
3000,253.3999939,271.3999939,290.6000061,310.3999939,328.6000061,346.8999939,365.3999939
3100,213,234.8999939,255.6999969,276.8999939,296.5,316.1000061,336
3200,177.8000031,202.3000031,224.6000061,246.6999969,267.2999878,287.7000122,308.7000122
3300,147.3000031,173.8999939,196.5,219.5,240.8999939,262.1000061,283.6000061
3400,121.1999969,148.8000031,171.8000031,195.1000061,216.8000031,238.3999939,260.7000122
3500,99.69999695,127.0999985,150.1000061,173.3000031,195.1999969,217.1000061,239.3999939
3600,81.40000153,108.4000015,131,153.8000031,175.6999969,197.3999939,219.6999969
3700,66.19999695,92.40000153,114.3000031,136.6999969,158.1000061,179.6000061,202
3800,53.59999847,79,99.80000305,121.5,142.3999939,163.6999969,185.3999939
3900,43.5,67.09999847,87.30000305,107.8000031,128.1999969,149.1999969,170.5
4000,35.29999924,57.40000153,76.19999695,95.80000305,115.6999969,135.6999969,156.6999969
4100,28.60000038,48.90000153,66.40000153,85.30000305,104,123.5999985,144.1000061
4200,23.10000038,41.40000153,58,75.80000305,93.69999695,112.5,132.3000031
4300,18.70000076,35.29999924,50.59999847,67.40000153,84.40000153,102.5999985,121.5999985
4400,15.1,30.1,44.2,59.79999924,76.09999847,93.30000305,111.8000031
